"species","mean_percentage","sd_percentage"
"Urotrygon rogersi",6.51020408163265,3.18673507177347
"Urotrygon aspidura",6.41176470588235,3.65349326015421
"Notoraja martinezi",6.4,3.2659863237109
"Raja ackleyi",6.375,8.61182385450435
"Breviraja mouldi",6.31818181818182,4.69874666466666
"Squalus bucephalus",6.28703703703704,2.04431495846121
"Psammobatis rudis",6.17701149425287,0.785991769989828
"Pristis clavata",6.1371557054525,0.474915807978251
"Carcharias taurus",6.09356984478936,0.300493971767848
"Carcharhinus obscurus",6.0465374841169,0.211156434132348
"Mustelus lunulatus",6,1.24052019435844
"Aetomylaeus vespertilio",5.98332539304431,0.421364519867369
"Urobatis concentricus",5.93333333333333,2.98067099007358
"Mustelus albipinnis",5.91489361702128,3.13664459397106
"Apristurus ampliceps",5.84848484848485,1.17391214241925
"Galeus piperatus",5.82222222222222,3.20213172542619
"Mustelus schmitti",5.81465517241379,0.775535458945166
"Schroederichthys maculatus",5.8125,3.12387746393038
"Squalus blainville",5.80645161290323,4.25191850849102
"Psammobatis bergi",5.79750778816199,1.08630739485917
"Gymnura marmorata",5.79245283018868,3.10732561686431
"Sympterygia bonapartii",5.78585086042065,0.70377520559322
"Glaucostegus typus",5.77412280701754,0.43223163915061
"Leucoraja lentiginosa",5.77272727272727,2.0281638333567
"Psammobatis normani",5.77197802197802,0.831538321376422
"Raja equatorialis",5.77142857142857,2.06102638790465
"Urotrygon munda",5.76,4.07287157031533
"Bathyraja spinosissima",5.75739644970414,1.35899634938447
"Heterodontus francisci",5.75138121546961,1.50864794895402
"Scyliorhinus hesperius",5.72881355932203,2.55835869083884
"Psammobatis extenta",5.71498771498772,0.842214389761998
"Rhinobatos productus",5.64705882352941,1.50494623309843
"Narcine entemedor",5.64516129032258,1.95944164863612
"Bathyraja macloviana",5.61806981519507,0.685407847219738
"Etmopterus pseudosqualiolus",5.60526315789474,3.35915042042619
"Rhinobatos glaucostigma",5.59036144578313,2.23618108769027
"Zapteryx exasperata",5.5672514619883,1.47400109295337
"Parmaturus xaniurus",5.55769230769231,1.22427099925168
"Mustelus dorsalis",5.53571428571429,2.79767661357371
"Urobatis halleri",5.48703170028818,1.19835229790431
"Raja cortezensis",5.48571428571429,3.67017878683794
"Bathyraja magellanica",5.4572192513369,0.905010686452802
"Apristurus kampae",5.44761904761905,1.37100629488367
"Mustelus californicus",5.43478260869565,1.41805974253157
"Apristurus melanoasper",5.43430799220273,0.371054538646301
"Etmopterus viator",5.41304347826087,0.972321667850046
"Chiloscyllium punctatum",5.40793201133144,0.31620641222231
"Atlantoraja platana",5.40437158469945,1.02052421332105
"Psammobatis lentiginosa",5.35922330097087,1.10903832305962
"Platyrhinoidis triseriata",5.35374149659864,1.52161091891942
"Carcharhinus brevipinna",5.32403100775194,0.375380254208473
"Centroscymnus plunketi",5.30793157076205,0.728001440916394
"Myliobatis californica",5.30288461538461,1.40117966631508
"Dactylobatus armatus",5.29885057471264,2.11057024364443
"Carcharhinus brachyurus",5.28624078624079,0.467784666041337
"Myliobatis ridens",5.25384615384615,2.01617688182743
"Etmopterus carteri",5.25,10.8333333333333
"Etmopterus lucifer",5.24906850100315,0.297831822040955
"Urobatis maculatus",5.23529411764706,3.65827344440479
"Rhizoprionodon longurio",5.22666666666667,2.24777231034352
"Myliobatis longirostris",5.22058823529412,2.37746246574582
"Cephaloscyllium ventriosum",5.17824773413897,1.20235573022849
"Psammobatis rutrum",5.16666666666667,1.24296828726325
"Atlantoraja castelnaui",5.16613418530351,1.14884571904787
"Tetronarce puelcha",5.15789473684211,0.973726801742652
"Triakis semifasciata",5.13953488372093,1.36826746189389
"Amblyraja doellojuradoi",5.13430127041742,0.574087080703469
"Zameus ichiharai",5.13333333333333,6.55495631570384
"Urotrygon chilensis",5.125,2.3827980060107
"Atlantoraja cyclophora",5.07777777777778,1.2224942730249
"Discopyge tschudii",5.07008547008547,0.561567034939511
